Mass [Msun]          H-1               He-4            C-12             N-14              O-16             Si-28            Ni-56            
   1.631584E+00     5.625742E-10     5.464069E-02     4.361118E-06     7.591063E-17     1.269237E-08     2.430024E-07     5.768255E-01  
   1.631996E+00     5.392662E-10     5.109587E-02     3.672033E-06     6.327279E-17     1.053206E-08     2.027322E-07     5.810272E-01  
   1.632409E+00     5.148201E-10     4.756619E-02     3.056473E-06     5.197457E-17     8.632460E-09     1.672435E-07     5.852335E-01  
   1.632822E+00     4.891842E-10     4.405061E-02     2.510562E-06     4.198161E-17     6.976533E-09     1.361943E-07     5.894461E-01  
   1.633441E+00     4.398426E-10     3.774483E-02     1.693784E-06     2.721440E-17     4.563644E-09     9.057154E-08     5.970301E-01  
   1.634053E+00     4.114197E-10     3.439614E-02     1.330851E-06     2.070990E-17     3.522286E-09     7.070349E-08     6.011717E-01  
   1.634452E+00     3.819006E-10     3.106624E-02     1.025703E-06     1.539532E-17     2.667084E-09     5.417304E-08     6.052529E-01  
   1.635051E+00     3.254506E-10     2.511910E-02     5.970319E-07     8.229841E-18     1.505428E-09     3.128769E-08     6.126322E-01  
   1.635650E+00     2.912687E-10     2.179550E-02     4.142779E-07     5.330849E-18     1.028504E-09     2.167483E-08     6.168456E-01  
   1.636050E+00     2.563265E-10     1.856002E-02     2.749957E-07     3.257037E-18     6.749012E-10     1.438952E-08     6.209572E-01  
   1.636449E+00     2.196156E-10     1.534524E-02     1.694455E-07     1.800363E-18     4.137356E-10     8.889487E-09     6.250890E-01  
   1.636848E+00     1.809173E-10     1.215416E-02     9.374611E-08     8.584085E-19     2.304107E-10     4.943490E-09     6.292322E-01  
   1.637319E+00     1.271402E-10     8.053854E-03     3.321735E-08     2.241584E-19     8.531631E-11     1.763834E-09     6.346676E-01  
   1.637862E+00     6.239236E-11     3.802555E-03     5.320226E-09     1.646569E-20     1.568870E-11     2.577815E-10     6.406779E-01  
   1.638405E+00     1.437552E-11     9.889251E-04     2.639789E-10     9.085899E-23     9.984088E-13     3.331873E-12     6.433853E-01  
   1.638948E+00     5.693762E-12     3.097723E-04     3.392225E-11     2.302536E-24     4.105373E-13     1.863441E-12     6.449969E-01  
   1.639491E+00     3.083513E-12     1.174190E-04     1.095803E-11     2.217547E-25     3.290359E-12     2.884948E-11     6.474666E-01  
   1.640033E+00     2.009636E-12     4.666316E-05     4.813522E-12     2.000821E-25     1.528116E-11     1.009964E-07     6.499401E-01  
   1.640441E+00     2.948244E-12     2.492373E-05     1.176827E-11     9.603026E-24     1.205767E-10     3.291377E-06     6.502443E-01  
   1.640712E+00     1.466267E-11     8.392273E-06     1.033488E-10     1.010847E-21     1.361670E-09     4.283773E-05     6.491995E-01  
   1.641119E+00     1.148537E-10     5.625330E-07     1.265524E-09     5.048756E-19     1.575625E-08     5.393251E-04     6.449866E-01  
