Mass [Msun]          H-1               He-4            C-12             N-14              O-16             Si-28            Ni-56            
   2.387190E+00     5.791063E-18     5.106360E-06     1.276797E-02     7.723865E-07     6.113498E-01     8.601392E-02     1.056782E-14  
   2.389649E+00     6.336071E-18     5.582440E-06     1.279977E-02     7.742000E-07     6.113095E-01     8.599672E-02     1.055662E-14  
   2.391666E+00     6.864572E-18     6.054669E-06     1.282194E-02     7.755801E-07     6.112819E-01     8.598474E-02     1.054951E-14  
   2.393684E+00     7.427136E-18     6.556868E-06     1.284409E-02     7.769575E-07     6.112546E-01     8.597278E-02     1.054254E-14  
   2.395701E+00     8.025333E-18     7.090182E-06     1.286621E-02     7.783320E-07     6.112275E-01     8.596085E-02     1.053571E-14  
   2.397676E+00     8.641495E-18     7.637203E-06     1.288837E-02     7.796914E-07     6.112006E-01     8.594892E-02     1.052894E-14  
   2.399610E+00     9.286191E-18     8.209805E-06     1.290965E-02     7.810086E-07     6.111750E-01     8.593748E-02     1.052262E-14  
   2.401543E+00     9.971127E-18     8.814131E-06     1.293094E-02     7.823247E-07     6.111496E-01     8.592604E-02     1.051642E-14  
   2.403476E+00     1.069834E-17     9.451491E-06     1.295224E-02     7.836390E-07     6.111245E-01     8.591462E-02     1.051033E-14  
   2.405410E+00     1.147359E-17     1.012424E-05     1.297389E-02     7.849668E-07     6.110991E-01     8.590301E-02     1.050424E-14  
   2.407343E+00     1.229604E-17     1.083412E-05     1.299645E-02     7.863321E-07     6.110729E-01     8.589094E-02     1.049795E-14  
   2.410243E+00     1.377410E-17     1.214080E-05     1.302086E-02     7.880902E-07     6.110463E-01     8.587788E-02     1.049252E-14  
   2.413006E+00     1.456264E-17     1.269798E-05     1.306934E-02     7.903478E-07     6.109877E-01     8.585207E-02     1.047689E-14  
   2.414666E+00     1.541512E-17     1.341586E-05     1.308949E-02     7.915453E-07     6.109650E-01     8.584134E-02     1.047170E-14  
   2.416326E+00     1.632934E-17     1.417730E-05     1.311392E-02     7.929231E-07     6.109374E-01     8.582837E-02     1.046528E-14  
   2.417986E+00     1.728116E-17     1.496626E-05     1.313741E-02     7.942572E-07     6.109112E-01     8.581591E-02     1.045931E-14  
   2.419714E+00     1.831761E-17     1.582083E-05     1.315727E-02     7.954584E-07     6.108898E-01     8.580539E-02     1.045471E-14  
   2.421509E+00     1.942117E-17     1.671780E-05     1.317709E-02     7.966629E-07     6.108686E-01     8.579490E-02     1.045025E-14  
   2.423304E+00     2.057575E-17     1.764764E-05     1.319707E-02     7.978747E-07     6.108475E-01     8.578434E-02     1.044583E-14  
   2.425099E+00     2.177876E-17     1.860975E-05     1.321700E-02     7.990854E-07     6.108267E-01     8.577382E-02     1.044152E-14  
   2.426894E+00     2.303281E-17     1.960517E-05     1.323708E-02     8.003034E-07     6.108059E-01     8.576323E-02     1.043727E-14  
   2.428689E+00     2.433253E-17     2.063594E-05     1.325728E-02     8.015273E-07     6.107852E-01     8.575258E-02     1.043308E-14  
   2.430484E+00     2.569251E-17     2.169814E-05     1.327710E-02     8.027355E-07     6.107652E-01     8.574215E-02     1.042909E-14  
   2.432279E+00     2.710788E-17     2.279400E-05     1.329705E-02     8.039499E-07     6.107452E-01     8.573165E-02     1.042515E-14  
   2.434011E+00     2.851558E-17     2.386426E-05     1.331739E-02     8.051573E-07     6.107248E-01     8.572097E-02     1.042110E-14  
   2.435680E+00     2.994799E-17     2.494591E-05     1.333645E-02     8.063087E-07     6.107060E-01     8.571097E-02     1.041747E-14  
   2.437349E+00     3.143053E-17     2.605571E-05     1.335543E-02     8.074564E-07     6.106875E-01     8.570102E-02     1.041394E-14  
   2.439019E+00     3.296528E-17     2.719440E-05     1.337445E-02     8.086061E-07     6.106691E-01     8.569106E-02     1.041048E-14  
   2.440688E+00     3.455601E-17     2.836312E-05     1.339370E-02     8.097656E-07     6.106507E-01     8.568098E-02     1.040704E-14  
   2.442357E+00     3.620706E-17     2.956207E-05     1.341321E-02     8.109356E-07     6.106322E-01     8.567079E-02     1.040361E-14  
   2.444027E+00     3.795375E-17     3.081242E-05     1.343595E-02     8.122395E-07     6.106102E-01     8.565892E-02     1.039947E-14  
   2.446543E+00     4.083755E-17     3.294196E-05     1.345188E-02     8.135552E-07     6.105993E-01     8.565059E-02     1.039834E-14  
   2.449494E+00     4.389235E-17     3.504672E-05     1.348715E-02     8.155792E-07     6.105662E-01     8.563222E-02     1.039223E-14  
   2.452033E+00     4.685634E-17     3.709081E-05     1.351444E-02     8.172575E-07     6.105422E-01     8.561803E-02     1.038816E-14  
   2.454150E+00     4.921984E-17     3.863555E-05     1.354409E-02     8.188548E-07     6.105140E-01     8.560264E-02     1.038295E-14  
   2.455843E+00     5.138477E-17     4.008446E-05     1.356467E-02     8.200704E-07     6.104959E-01     8.559196E-02     1.037988E-14  
   2.457536E+00     5.360754E-17     4.155710E-05     1.358484E-02     8.212677E-07     6.104784E-01     8.558152E-02     1.037698E-14  
   2.459229E+00     5.593249E-17     4.307266E-05     1.360664E-02     8.225309E-07     6.104593E-01     8.557024E-02     1.037381E-14  
   2.461353E+00     5.904216E-17     4.513100E-05     1.362549E-02     8.238266E-07     6.104456E-01     8.556048E-02     1.037200E-14  
   2.463908E+00     6.270992E-17     4.746714E-05     1.365324E-02     8.255178E-07     6.104231E-01     8.554615E-02     1.036853E-14  
   2.466462E+00     6.653480E-17     4.986425E-05     1.368139E-02     8.272222E-07     6.104006E-01     8.553163E-02     1.036511E-14  
   2.468860E+00     7.019170E-17     5.210317E-05     1.371042E-02     8.288988E-07     6.103767E-01     8.551669E-02     1.036140E-14  
   2.471103E+00     7.378006E-17     5.428752E-05     1.373397E-02     8.303425E-07     6.103588E-01     8.550457E-02     1.035884E-14  
   2.472706E+00     7.537821E-17     5.502773E-05     1.376173E-02     8.315472E-07     6.103312E-01     8.549035E-02     1.035390E-14  
   2.473672E+00     7.713918E-17     5.605993E-05     1.377777E-02     8.324056E-07     6.103175E-01     8.548213E-02     1.035179E-14  
   2.475119E+00     7.980631E-17     5.769925E-05     1.378864E-02     8.332233E-07     6.103117E-01     8.547655E-02     1.035135E-14  
   2.477049E+00     8.319484E-17     5.967057E-05     1.380951E-02     8.344830E-07     6.102963E-01     8.546586E-02     1.034929E-14  
   2.478980E+00     8.672632E-17     6.168794E-05     1.383180E-02     8.357977E-07     6.102797E-01     8.545445E-02     1.034704E-14  
   2.480910E+00     9.036354E-17     6.373533E-05     1.385430E-02     8.371177E-07     6.102631E-01     8.544295E-02     1.034483E-14  
   2.482840E+00     9.410339E-17     6.580920E-05     1.387679E-02     8.384347E-07     6.102467E-01     8.543148E-02     1.034270E-14  
   2.484740E+00     9.786875E-17     6.786469E-05     1.389950E-02     8.397464E-07     6.102301E-01     8.541989E-02     1.034055E-14  
   2.486609E+00     1.016840E-16     6.992603E-05     1.392158E-02     8.410279E-07     6.102143E-01     8.540865E-02     1.033856E-14  
   2.488448E+00     1.055077E-16     7.196721E-05     1.394364E-02     8.422945E-07     6.101986E-01     8.539743E-02     1.033660E-14  
   2.490257E+00     1.093899E-16     7.401319E-05     1.396518E-02     8.435360E-07     6.101836E-01     8.538649E-02     1.033478E-14  
   2.492065E+00     1.133562E-16     7.607903E-05     1.398670E-02     8.447733E-07     6.101687E-01     8.537556E-02     1.033303E-14  
   2.493874E+00     1.174037E-16     7.816399E-05     1.400816E-02     8.460053E-07     6.101541E-01     8.536468E-02     1.033134E-14  
   2.495682E+00     1.215325E-16     8.026815E-05     1.402959E-02     8.472327E-07     6.101397E-01     8.535383E-02     1.032971E-14  
   2.497491E+00     1.257111E-16     8.237817E-05     1.405028E-02     8.484275E-07     6.101262E-01     8.534336E-02     1.032824E-14  
   2.499126E+00     1.295033E-16     8.423025E-05     1.407233E-02     8.496073E-07     6.101104E-01     8.533222E-02     1.032637E-14  
   2.500588E+00     1.330858E-16     8.599418E-05     1.409091E-02     8.506414E-07     6.100979E-01     8.532284E-02     1.032501E-14  
   2.502156E+00     1.369747E-16     8.791767E-05     1.410821E-02     8.516597E-07     6.100874E-01     8.531412E-02     1.032401E-14  
   2.503829E+00     1.410800E-16     8.991602E-05     1.412686E-02     8.527346E-07     6.100759E-01     8.530472E-02     1.032289E-14  
   2.505224E+00     1.444480E-16     9.145523E-05     1.414808E-02     8.537959E-07     6.100602E-01     8.529405E-02     1.032103E-14  
   2.506339E+00     1.474655E-16     9.288506E-05     1.416470E-02     8.546730E-07     6.100488E-01     8.528569E-02     1.031981E-14  
   2.508012E+00     1.518272E-16     9.507811E-05     1.417524E-02     8.554937E-07     6.100463E-01     8.528038E-02     1.032008E-14  
   2.509686E+00     1.553688E-16     9.653887E-05     1.420169E-02     8.567020E-07     6.100253E-01     8.526712E-02     1.031750E-14  
   2.510801E+00     1.585102E-16     9.798681E-05     1.421808E-02     8.575638E-07     6.100144E-01     8.525890E-02     1.031640E-14  
   2.512195E+00     1.623735E-16     9.982784E-05     1.423138E-02     8.583966E-07     6.100080E-01     8.525223E-02     1.031605E-14  
   2.513869E+00     1.669498E-16     1.019151E-04     1.425092E-02     8.594883E-07     6.099965E-01     8.524244E-02     1.031506E-14  
   2.515542E+00     1.716403E-16     1.040286E-04     1.427126E-02     8.606071E-07     6.099843E-01     8.523227E-02     1.031402E-14  
   2.517215E+00     1.764192E-16     1.061570E-04     1.429184E-02     8.617318E-07     6.099720E-01     8.522198E-02     1.031298E-14  
   2.518913E+00     1.813422E-16     1.083358E-04     1.431236E-02     8.628590E-07     6.099601E-01     8.521174E-02     1.031203E-14  
   2.520636E+00     1.864254E-16     1.105534E-04     1.433358E-02     8.640106E-07     6.099478E-01     8.520116E-02     1.031105E-14  
   2.522359E+00     1.915907E-16     1.127843E-04     1.435498E-02     8.651651E-07     6.099354E-01     8.519050E-02     1.031009E-14  
   2.524082E+00     1.969402E-16     1.150285E-04     1.437653E-02     8.663211E-07     6.099230E-01     8.517978E-02     1.030915E-14  
   2.525805E+00     2.024396E-16     1.172951E-04     1.439869E-02     8.674967E-07     6.099102E-01     8.516876E-02     1.030820E-14  
   2.527528E+00     2.082416E-16     1.196465E-04     1.442406E-02     8.687892E-07     6.098948E-01     8.515618E-02     1.030699E-14  
   2.530112E+00     2.167168E-16     1.232130E-04     1.444255E-02     8.700767E-07     6.098906E-01     8.514699E-02     1.030743E-14  
   2.533134E+00     2.264733E-16     1.269251E-04     1.448338E-02     8.721138E-07     6.098659E-01     8.512678E-02     1.030555E-14  
   2.535731E+00     2.357168E-16     1.304434E-04     1.451839E-02     8.739097E-07     6.098463E-01     8.510948E-02     1.030428E-14  
   2.538761E+00     2.465653E-16     1.346062E-04     1.455040E-02     8.757127E-07     6.098322E-01     8.509367E-02     1.030383E-14  
   2.542224E+00     2.590037E-16     1.391948E-04     1.459234E-02     8.778976E-07     6.098107E-01     8.507301E-02     1.030274E-14  
   2.545478E+00     2.714454E-16     1.436096E-04     1.464068E-02     8.802360E-07     6.097831E-01     8.504927E-02     1.030110E-14  
   2.549623E+00     2.869273E-16     1.493584E-04     1.467542E-02     8.823520E-07     6.097733E-01     8.503221E-02     1.030161E-14  
   2.554216E+00     3.041187E-16     1.551433E-04     1.473819E-02     8.853334E-07     6.097388E-01     8.500151E-02     1.029984E-14  
   2.557520E+00     3.174835E-16     1.594455E-04     1.479329E-02     8.877884E-07     6.097062E-01     8.497464E-02     1.029806E-14  
   2.560862E+00     3.312939E-16     1.641713E-04     1.482866E-02     8.896835E-07     6.096930E-01     8.495742E-02     1.029819E-14  
   2.564872E+00     3.479505E-16     1.695681E-04     1.487842E-02     8.921150E-07     6.096702E-01     8.493324E-02     1.029774E-14  
   2.568657E+00     3.642714E-16     1.746786E-04     1.493090E-02     8.945557E-07     6.096444E-01     8.490780E-02     1.029709E-14  
   2.572219E+00     3.797632E-16     1.795215E-04     1.497648E-02     8.967188E-07     6.096240E-01     8.488577E-02     1.029687E-14  
   2.575780E+00     3.952609E-16     1.842933E-04     1.502042E-02     8.988029E-07     6.096050E-01     8.486456E-02     1.029681E-14  
   2.578966E+00     4.096386E-16     1.885188E-04     1.506691E-02     9.008558E-07     6.095822E-01     8.484218E-02     1.029642E-14  
   2.581777E+00     4.225541E-16     1.923580E-04     1.510391E-02     9.025524E-07     6.095662E-01     8.482439E-02     1.029644E-14  
   2.584213E+00     4.341293E-16     1.955882E-04     1.514195E-02     9.041709E-07     6.095473E-01     8.480614E-02     1.029617E-14  
   2.586273E+00     4.441742E-16     1.984416E-04     1.517039E-02     9.054429E-07     6.095349E-01     8.479252E-02     1.029624E-14  
   2.589363E+00     4.583907E-16     2.026694E-04     1.519719E-02     9.068738E-07     6.095293E-01     8.477968E-02     1.029711E-14  
   2.592968E+00     4.760588E-16     2.074168E-04     1.525187E-02     9.091678E-07     6.095035E-01     8.475357E-02     1.029704E-14  
   2.596058E+00     4.916011E-16     2.116352E-04     1.529367E-02     9.109955E-07     6.094864E-01     8.473364E-02     1.029737E-14  
   2.599070E+00     5.071023E-16     2.157358E-04     1.533584E-02     9.128005E-07     6.094688E-01     8.471359E-02     1.029771E-14  
   2.602002E+00     5.224224E-16     2.197367E-04     1.537612E-02     9.145235E-07     6.094527E-01     8.469446E-02     1.029814E-14  
   2.604934E+00     5.380091E-16     2.237383E-04     1.541664E-02     9.162386E-07     6.094367E-01     8.467525E-02     1.029864E-14  
   2.607866E+00     5.538463E-16     2.277327E-04     1.545739E-02     9.179459E-07     6.094207E-01     8.465597E-02     1.029919E-14  
   2.610805E+00     5.699771E-16     2.317417E-04     1.549839E-02     9.196467E-07     6.094049E-01     8.463661E-02     1.029980E-14  
   2.613751E+00     5.864636E-16     2.357530E-04     1.553983E-02     9.213462E-07     6.093891E-01     8.461707E-02     1.030047E-14  
   2.616698E+00     6.034668E-16     2.397642E-04     1.558152E-02     9.230377E-07     6.093735E-01     8.459745E-02     1.030119E-14  
   2.619823E+00     6.216690E-16     2.439951E-04     1.562331E-02     9.247499E-07     6.093588E-01     8.457782E-02     1.030207E-14  
   2.622302E+00     6.352177E-16     2.467538E-04     1.567093E-02     9.263865E-07     6.093347E-01     8.455551E-02     1.030225E-14  
   2.623955E+00     6.453466E-16     2.490214E-04     1.569498E-02     9.273334E-07     6.093259E-01     8.454425E-02     1.030275E-14  
   2.626820E+00     6.613724E-16     2.526793E-04     1.571875E-02     9.284654E-07     6.093229E-01     8.453312E-02     1.030387E-14  
   2.629981E+00     6.806095E-16     2.565896E-04     1.577796E-02     9.305271E-07     6.092957E-01     8.450549E-02     1.030452E-14  
   2.632308E+00     6.955551E-16     2.597601E-04     1.581091E-02     9.318037E-07     6.092846E-01     8.449014E-02     1.030536E-14  
   2.634717E+00     7.113165E-16     2.630474E-04     1.584639E-02     9.331513E-07     6.092724E-01     8.447363E-02     1.030624E-14  
   2.636999E+00     7.267536E-16     2.661763E-04     1.588208E-02     9.344723E-07     6.092597E-01     8.445705E-02     1.030709E-14  
   2.639719E+00     7.450122E-16     2.697558E-04     1.591411E-02     9.357557E-07     6.092514E-01     8.444219E-02     1.030820E-14  
   2.643001E+00     7.695153E-16     2.742124E-04     1.596303E-02     9.375618E-07     6.092352E-01     8.441953E-02     1.030953E-14  
   2.645992E+00     7.926014E-16     2.783088E-04     1.601236E-02     9.393102E-07     6.092177E-01     8.439674E-02     1.031078E-14  
   2.648692E+00     8.140943E-16     2.819838E-04     1.605321E-02     9.407826E-07     6.092046E-01     8.437790E-02     1.031198E-14  
   2.650829E+00     8.304176E-16     2.847955E-04     1.609434E-02     9.421333E-07     6.091883E-01     8.435896E-02     1.031288E-14  
   2.652404E+00     8.435157E-16     2.869484E-04     1.611845E-02     9.429878E-07     6.091808E-01     8.434787E-02     1.031362E-14  
   2.654469E+00     8.606660E-16     2.896097E-04     1.614261E-02     9.439068E-07     6.091753E-01     8.433676E-02     1.031456E-14  
   2.657022E+00     8.830112E-16     2.930872E-04     1.618192E-02     9.452790E-07     6.091634E-01     8.431872E-02     1.031581E-14  
   2.659053E+00     8.998537E-16     2.957979E-04     1.622147E-02     9.465439E-07     6.091485E-01     8.430061E-02     1.031680E-14  
   2.660561E+00     9.136994E-16     2.978598E-04     1.624492E-02     9.473491E-07     6.091416E-01     8.428988E-02     1.031757E-14  
   2.662822E+00     9.346722E-16     3.006584E-04     1.626843E-02     9.482478E-07     6.091375E-01     8.427912E-02     1.031862E-14  
   2.664987E+00     9.392324E-16     3.019170E-04     1.631567E-02     9.494680E-07     6.091129E-01     8.425758E-02     1.031915E-14  
   2.666301E+00     9.518501E-16     3.037316E-04     1.633635E-02     9.501645E-07     6.091070E-01     8.424815E-02     1.031987E-14  
   2.668272E+00     9.707968E-16     3.061840E-04     1.635710E-02     9.509428E-07     6.091037E-01     8.423869E-02     1.032083E-14  
   2.670882E+00     9.972900E-16     3.097865E-04     1.639877E-02     9.523231E-07     6.090921E-01     8.421973E-02     1.032229E-14  
   2.673476E+00     1.024606E-15     3.133612E-04     1.644013E-02     9.536812E-07     6.090808E-01     8.420094E-02     1.032378E-14  
   2.675698E+00     1.047817E-15     3.164946E-04     1.648169E-02     9.549749E-07     6.090680E-01     8.418209E-02     1.032513E-14  
   2.677548E+00     1.068516E-15     3.190506E-04     1.651148E-02     9.559349E-07     6.090602E-01     8.416860E-02     1.032623E-14  
   2.679172E+00     1.086552E-15     3.213530E-04     1.654137E-02     9.568582E-07     6.090514E-01     8.415508E-02     1.032725E-14  
   2.680570E+00     1.102944E-15     3.232895E-04     1.656404E-02     9.575786E-07     6.090456E-01     8.414484E-02     1.032810E-14  
   2.682668E+00     1.128555E-15     3.258518E-04     1.658681E-02     9.583774E-07     6.090423E-01     8.413455E-02     1.032917E-14  
   2.685439E+00     1.163363E-15     3.296953E-04     1.663261E-02     9.598066E-07     6.090307E-01     8.411390E-02     1.033089E-14  
   2.688186E+00     1.199538E-15     3.334930E-04     1.667786E-02     9.612056E-07     6.090195E-01     8.409353E-02     1.033262E-14  
   2.690519E+00     1.229072E-15     3.368328E-04     1.672331E-02     9.625376E-07     6.090068E-01     8.407310E-02     1.033423E-14  
   2.692440E+00     1.256111E-15     3.394935E-04     1.675524E-02     9.635049E-07     6.089993E-01     8.405877E-02     1.033547E-14  
   2.695320E+00     1.300299E-15     3.429401E-04     1.678745E-02     9.645698E-07     6.089947E-01     8.404433E-02     1.033699E-14  
   2.698341E+00     1.336517E-15     3.472010E-04     1.685217E-02     9.663549E-07     6.089758E-01     8.401537E-02     1.033919E-14  
   2.699991E+00     1.350296E-15     3.493061E-04     1.688938E-02     9.673260E-07     6.089639E-01     8.399876E-02     1.034035E-14  
   2.701092E+00     1.367651E-15     3.508428E-04     1.690804E-02     9.678703E-07     6.089598E-01     8.399043E-02     1.034110E-14  
   2.702502E+00     1.391267E-15     3.526309E-04     1.692679E-02     9.684456E-07     6.089567E-01     8.398207E-02     1.034194E-14  
   2.704222E+00     1.419781E-15     3.550363E-04     1.695622E-02     9.692936E-07     6.089505E-01     8.396896E-02     1.034312E-14  
   2.705942E+00     1.449095E-15     3.574445E-04     1.698578E-02     9.701388E-07     6.089442E-01     8.395580E-02     1.034432E-14  
   2.707662E+00     1.479277E-15     3.598544E-04     1.701546E-02     9.709812E-07     6.089381E-01     8.394261E-02     1.034552E-14  
   2.709666E+00     1.516982E-15     3.624892E-04     1.704531E-02     9.718492E-07     6.089328E-01     8.392935E-02     1.034681E-14  
   2.711954E+00     1.560169E-15     3.656994E-04     1.708522E-02     9.729624E-07     6.089248E-01     8.391165E-02     1.034843E-14  
   2.714253E+00     1.605427E-15     3.689235E-04     1.712535E-02     9.740711E-07     6.089169E-01     8.389387E-02     1.035007E-14  
   2.716563E+00     1.652545E-15     3.721743E-04     1.716608E-02     9.751838E-07     6.089090E-01     8.387586E-02     1.035173E-14  
   2.718759E+00     1.697867E-15     3.753379E-04     1.720703E-02     9.762793E-07     6.089010E-01     8.385777E-02     1.035338E-14  
   2.720841E+00     1.743360E-15     3.782800E-04     1.724416E-02     9.772730E-07     6.088941E-01     8.384139E-02     1.035490E-14  
   2.722923E+00     1.790352E-15     3.812289E-04     1.728149E-02     9.782624E-07     6.088874E-01     8.382495E-02     1.035643E-14  
   2.725006E+00     1.838904E-15     3.841840E-04     1.731902E-02     9.792473E-07     6.088808E-01     8.380844E-02     1.035797E-14  
   2.726629E+00     1.863535E-15     3.866044E-04     1.735670E-02     9.801605E-07     6.088722E-01     8.379188E-02     1.035935E-14  
   2.727792E+00     1.891728E-15     3.882651E-04     1.737784E-02     9.807064E-07     6.088686E-01     8.378260E-02     1.036022E-14  
   2.728956E+00     1.920447E-15     3.899270E-04     1.739903E-02     9.812508E-07     6.088651E-01     8.377331E-02     1.036109E-14  
   2.730120E+00     1.949684E-15     3.915902E-04     1.742027E-02     9.817935E-07     6.088616E-01     8.376400E-02     1.036197E-14  
   2.731865E+00     1.999497E-15     3.936188E-04     1.744158E-02     9.823797E-07     6.088596E-01     8.375466E-02     1.036295E-14  
   2.734192E+00     2.061426E-15     3.969501E-04     1.748438E-02     9.834571E-07     6.088528E-01     8.373593E-02     1.036471E-14  
   2.736074E+00     2.099986E-15     3.998662E-04     1.752740E-02     9.844763E-07     6.088445E-01     8.371713E-02     1.036634E-14  
   2.737512E+00     2.140207E-15     4.019387E-04     1.755412E-02     9.851361E-07     6.088405E-01     8.370547E-02     1.036743E-14  
   2.738949E+00     2.181545E-15     4.040167E-04     1.758098E-02     9.857945E-07     6.088365E-01     8.369376E-02     1.036853E-14  
   2.740386E+00     2.223734E-15     4.061023E-04     1.760799E-02     9.864517E-07     6.088326E-01     8.368199E-02     1.036963E-14  
   2.742813E+00     2.307635E-15     4.087515E-04     1.763510E-02     9.871755E-07     6.088310E-01     8.367019E-02     1.037090E-14  
   2.745376E+00     2.321917E-15     4.124500E-04     1.769993E-02     9.885664E-07     6.088171E-01     8.364201E-02     1.037315E-14  
   2.747084E+00     2.375530E-15     4.149605E-04     1.773254E-02     9.893362E-07     6.088128E-01     8.362786E-02     1.037447E-14  
   2.749540E+00     2.465577E-15     4.178942E-04     1.776525E-02     9.901534E-07     6.088103E-01     8.361368E-02     1.037591E-14  
   2.751941E+00     2.475664E-15     4.214146E-04     1.782697E-02     9.914327E-07     6.087981E-01     8.358697E-02     1.037804E-14  
   2.753543E+00     2.529758E-15     4.238051E-04     1.785809E-02     9.921445E-07     6.087945E-01     8.357351E-02     1.037929E-14  
   2.755289E+00     2.592652E-15     4.262920E-04     1.788942E-02     9.928651E-07     6.087913E-01     8.355999E-02     1.038057E-14  
   2.757181E+00     2.659626E-15     4.291369E-04     1.792664E-02     9.937009E-07     6.087872E-01     8.354393E-02     1.038205E-14  
   2.759073E+00     2.728207E-15     4.319930E-04     1.796408E-02     9.945330E-07     6.087833E-01     8.352780E-02     1.038353E-14  
   2.760964E+00     2.798400E-15     4.348621E-04     1.800176E-02     9.953616E-07     6.087795E-01     8.351158E-02     1.038502E-14  
   2.763110E+00     2.885457E-15     4.378901E-04     1.803981E-02     9.962064E-07     6.087763E-01     8.349523E-02     1.038655E-14  
   2.765508E+00     2.982111E-15     4.415846E-04     1.808864E-02     9.972552E-07     6.087717E-01     8.347427E-02     1.038845E-14  
   2.767907E+00     3.081838E-15     4.453171E-04     1.813813E-02     9.983033E-07     6.087673E-01     8.345306E-02     1.039036E-14  
   2.770123E+00     3.169860E-15     4.489795E-04     1.818828E-02     9.993368E-07     6.087627E-01     8.343160E-02     1.039224E-14  
   2.772155E+00     3.257915E-15     4.522015E-04     1.823117E-02     1.000221E-06     6.087593E-01     8.341328E-02     1.039387E-14  
   2.774420E+00     3.363835E-15     4.555562E-04     1.827431E-02     1.001114E-06     6.087565E-01     8.339486E-02     1.039553E-14  
   2.776293E+00     3.354020E-15     4.585862E-04     1.832719E-02     1.002065E-06     6.087492E-01     8.337233E-02     1.039723E-14  
   2.777542E+00     3.410312E-15     4.605773E-04     1.835360E-02     1.002593E-06     6.087476E-01     8.336108E-02     1.039821E-14  
   2.778887E+00     3.474266E-15     4.626477E-04     1.838049E-02     1.003131E-06     6.087461E-01     8.334965E-02     1.039922E-14  
   2.780329E+00     3.541119E-15     4.650095E-04     1.841201E-02     1.003749E-06     6.087442E-01     8.333625E-02     1.040037E-14  
   2.781772E+00     3.608865E-15     4.673875E-04     1.844378E-02     1.004366E-06     6.087425E-01     8.332276E-02     1.040153E-14  
   2.783214E+00     3.677395E-15     4.697671E-04     1.847557E-02     1.004978E-06     6.087408E-01     8.330927E-02     1.040268E-14  
   2.785377E+00     3.796338E-15     4.725221E-04     1.850830E-02     1.005640E-06     6.087404E-01     8.329540E-02     1.040393E-14  
   2.787540E+00     3.773700E-15     4.763137E-04     1.857416E-02     1.006743E-06     6.087331E-01     8.326754E-02     1.040595E-14  
   2.788983E+00     3.844807E-15     4.787869E-04     1.860725E-02     1.007357E-06     6.087318E-01     8.325355E-02     1.040711E-14  
   2.790648E+00     3.933385E-15     4.813512E-04     1.864011E-02     1.007974E-06     6.087311E-01     8.323968E-02     1.040828E-14  
   2.792537E+00     4.028786E-15     4.845816E-04     1.868330E-02     1.008759E-06     6.087298E-01     8.322146E-02     1.040977E-14  
   2.794426E+00     4.125948E-15     4.879440E-04     1.872852E-02     1.009568E-06     6.087285E-01     8.320242E-02     1.041130E-14  
   2.796315E+00     4.224407E-15     4.913402E-04     1.877423E-02     1.010374E-06     6.087275E-01     8.318319E-02     1.041282E-14  
   2.798204E+00     4.323919E-15     4.947292E-04     1.881979E-02     1.011167E-06     6.087267E-01     8.316406E-02     1.041433E-14  
   2.800093E+00     4.423918E-15     4.979768E-04     1.886312E-02     1.011913E-06     6.087262E-01     8.314588E-02     1.041574E-14  
   2.801982E+00     4.525453E-15     5.013304E-04     1.890807E-02     1.012676E-06     6.087259E-01     8.312705E-02     1.041718E-14  
   2.803871E+00     4.629810E-15     5.050986E-04     1.895934E-02     1.013525E-06     6.087256E-01     8.310560E-02     1.041879E-14  
   2.806136E+00     4.765272E-15     5.090318E-04     1.901070E-02     1.014381E-06     6.087262E-01     8.308415E-02     1.042040E-14  
   2.808054E+00     4.338632E-15     5.101127E-04     1.906982E-02     1.014936E-06     6.087138E-01     8.305950E-02     1.042127E-14  
   2.809248E+00     4.404869E-15     5.123941E-04     1.910008E-02     1.015421E-06     6.087144E-01     8.304690E-02     1.042218E-14  
   2.811039E+00     4.518618E-15     5.151677E-04     1.913394E-02     1.015984E-06     6.087159E-01     8.303281E-02     1.042325E-14  
   2.812767E+00     4.144941E-15     5.163635E-04     1.919241E-02     1.016508E-06     6.087049E-01     8.300851E-02     1.042400E-14  
   2.813834E+00     4.202923E-15     5.182798E-04     1.921709E-02     1.016895E-06     6.087059E-01     8.299827E-02     1.042473E-14  
   2.815434E+00     4.305162E-15     5.211053E-04     1.925183E-02     1.017449E-06     6.087078E-01     8.298386E-02     1.042578E-14  
   2.817442E+00     4.412445E-15     5.248787E-04     1.930142E-02     1.018198E-06     6.087097E-01     8.296331E-02     1.042717E-14  
   2.819322E+00     4.520532E-15     5.285306E-04     1.934905E-02     1.018909E-06     6.087119E-01     8.294361E-02     1.042849E-14  
   2.821076E+00     4.617354E-15     5.320832E-04     1.939623E-02     1.019595E-06     6.087141E-01     8.292411E-02     1.042975E-14  
   2.822756E+00     4.717918E-15     5.352376E-04     1.943688E-02     1.020188E-06     6.087165E-01     8.290733E-02     1.043084E-14  
   2.824489E+00     4.818681E-15     5.381068E-04     1.947324E-02     1.020719E-06     6.087189E-01     8.289233E-02     1.043181E-14  
   2.825842E+00     4.852013E-15     5.414860E-04     1.952339E-02     1.021371E-06     6.087202E-01     8.287167E-02     1.043296E-14  
   2.827302E+00     4.949402E-15     5.433142E-04     1.954387E-02     1.021688E-06     6.087225E-01     8.286324E-02     1.043354E-14  
